round,variant,seconds
1,baseline,0.004514933
1,candidate,0.004539013
1,control,0.014535904
2,candidate,0.004456043
2,control,0.014585018
2,baseline,0.004497051
3,control,0.014489174
3,baseline,0.004462957
3,candidate,0.004449129
4,baseline,0.004462957
4,candidate,0.004420042
4,control,0.014476061
5,candidate,0.004423857
5,control,0.014390945
5,baseline,0.004642010
6,control,0.014955044
6,baseline,0.004503012
6,candidate,0.004456043
7,baseline,0.004461050
7,candidate,0.004430056
7,control,0.014421940
8,candidate,0.004878998
8,control,0.014483929
8,baseline,0.004472017
9,control,0.014376879
9,baseline,0.004935980
9,candidate,0.004595041
10,baseline,0.004496813
10,candidate,0.004750013
10,control,0.014698982
11,candidate,0.004469156
11,control,0.014552116
11,baseline,0.004864931
12,control,0.014761925
12,baseline,0.004503012
12,candidate,0.004460096
13,baseline,0.004472017
13,candidate,0.004431963
13,control,0.014586926
14,candidate,0.004435062
14,control,0.014284134
14,baseline,0.004387140
15,control,0.014053106
15,baseline,0.005404949
15,candidate,0.004512072
16,baseline,0.004509926
16,candidate,0.004456043
16,control,0.014600992
17,candidate,0.004457951
17,control,0.014517784
17,baseline,0.004498959
18,control,0.014425993
18,baseline,0.004508018
18,candidate,0.004962206
19,baseline,0.005104780
19,candidate,0.004498005
19,control,0.014551878
20,candidate,0.005500078
20,control,0.014562845
20,baseline,0.004512072
21,control,0.014558077
21,baseline,0.004505157
21,candidate,0.004454851
